srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,classe
192.168.0.75,57528,172.217.29.110,443,6,13,3229,11,1780,52,248,923,316,52,161,496,171,38,15813,68172,20462,22,18608,67458,25476,208988,208988,208988,208988,0,0,0,0,0,13,3229,11,1780,7,6,0,0,684,580,0,0
192.168.0.75,57530,172.217.29.110,443,6,2,112,1,60,52,56,60,5,60,60,60,0,18973,18973,18973,0,0,0,0,0,18973,18973,18973,18973,0,0,0,0,0,2,112,1,60,0,0,0,0,112,60,0,0
172.217.29.110,443,192.168.0.75,57530,6,1,52,1,52,52,52,52,0,52,52,52,0,0,0,0,0,0,0,0,0,635,635,635,635,0,0,0,0,0,1,52,1,52,0,0,0,0,52,52,0,0
192.168.0.75,33678,172.217.29.78,443,6,1,52,1,52,52,52,52,0,52,52,52,0,0,0,0,0,0,0,0,0,18018,18018,18018,18018,0,0,0,0,0,1,52,1,52,0,0,0,0,52,52,0,0
192.168.0.75,57530,172.217.29.110,443,6,1,52,1,52,52,52,52,0,52,52,52,0,0,0,0,0,0,0,0,0,19511,19511,19511,19511,0,0,0,0,0,1,52,1,52,0,0,0,0,52,52,0,0
192.168.0.75,42592,187.122.188.112,53,17,2,120,2,492,60,60,60,0,240,246,252,8,146,146,146,0,20,20,20,0,32574,32574,32574,32574,0,0,0,0,0,2,120,2,492,0,0,0,0,120,492,0,0
192.168.0.75,44074,172.217.30.68,443,6,38,5173,52,36483,52,136,843,169,52,701,2888,1064,160,33476,211867,50177,3,23633,173859,38396,1238612,1238612,1238612,1238612,0,0,0,0,0,38,5173,52,36483,16,31,0,0,1984,2712,0,0
192.168.0.75,44078,172.217.30.68,443,6,2,112,1,60,52,56,60,5,60,60,60,0,44746,44746,44746,0,0,0,0,0,44746,44746,44746,44746,0,0,0,0,0,2,112,1,60,0,0,0,0,112,60,0,0
192.168.0.75,42592,187.122.188.112,53,17,4,262,4,792,60,65,71,6,97,198,299,109,2768,7379,11990,6520,4460,5553,6647,1546,1101513,14160,18173,22187,5675,1065166,1065166,1065166,0,2,131,2,396,0,0,0,0,262,792,0,0
172.217.30.68,443,192.168.0.75,44074,6,53,71141,29,2969,52,1342,5724,1503,52,102,404,96,3,35166,386381,82606,25,64581,363631,105012,1828659,1828659,1828659,1828659,0,0,0,0,0,53,71141,29,2969,31,10,0,0,2756,1520,0,0
78.46.23.253,45700,10.21.0.35,52144,6,1,52,0,0,52,52,52,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,52,0,0,1
10.21.0.35,52144,78.46.23.253,45700,6,1,295,1,52,295,295,295,0,52,52,52,0,0,0,0,0,0,0,0,0,248756,248756,248756,248756,0,0,0,0,0,1,295,1,52,1,0,0,0,52,52,0,1
10.21.0.35,52144,78.46.23.253,45700,6,1,295,1,52,295,295,295,0,52,52,52,0,0,0,0,0,0,0,0,0,249119,249119,249119,249119,0,0,0,0,0,1,295,1,52,1,0,0,0,52,52,0,1
10.21.0.35,52144,78.46.23.253,45700,6,1,295,1,52,295,295,295,0,52,52,52,0,0,0,0,0,0,0,0,0,248732,248732,248732,248732,0,0,0,0,0,1,295,1,52,1,0,0,0,52,52,0,1
10.21.0.35,52144,78.46.23.253,45700,6,1,296,1,52,296,296,296,0,52,52,52,0,0,0,0,0,0,0,0,0,248712,248712,248712,248712,0,0,0,0,0,1,296,1,52,1,0,0,0,52,52,0,1
10.21.0.35,52144,78.46.23.253,45700,6,1,296,1,52,296,296,296,0,52,52,52,0,0,0,0,0,0,0,0,0,248742,248742,248742,248742,0,0,0,0,0,1,296,1,52,1,0,0,0,52,52,0,1
10.21.0.35,52144,78.46.23.253,45700,6,1,296,1,52,296,296,296,0,52,52,52,0,0,0,0,0,0,0,0,0,248684,248684,248684,248684,0,0,0,0,0,1,296,1,52,1,0,0,0,52,52,0,1
